Time,price
2004/11/23,447.05
2004/11/24,449.55
2004/11/25,451.69
2004/11/26,451.95
2004/11/27,451.95
2004/11/28,451.95
2004/11/29,453.95
2004/11/30,450.95
2004/12/1,454.75
2004/12/2,449.25
2004/12/3,455.9
2004/12/4,455.9
2004/12/5,455.9
2004/12/6,452.25
2004/12/7,450.9
2004/12/8,440.6
2004/12/9,437.3
2004/12/10,434.2
2004/12/11,434.2
2004/12/12,434.2
2004/12/13,438.85
2004/12/14,435.6
2004/12/15,440.6
2004/12/16,437.2
2004/12/17,441.5
2004/12/18,441.5
2004/12/19,441.5
2004/12/20,442.99
2004/12/21,441.6
2004/12/22,439.7
2004/12/23,442.24
2004/12/24,442.65
2004/12/25,442.65
2004/12/26,442.65
2004/12/27,444.35
2004/12/28,443.75
2004/12/29,436.45
2004/12/30,437.99
2004/12/31,438.45
2005/1/1,438.45
2005/1/2,438.45
2005/1/3,429.55
2005/1/4,427.55
2005/1/5,426.55
2005/1/6,421.4
2005/1/7,419.05
2005/1/8,419.05
2005/1/9,419.05
2005/1/10,419.63
2005/1/11,421.65
2005/1/12,426.15
2005/1/13,425.2
2005/1/14,423.15
2005/1/15,423.15
2005/1/16,423.15
2005/1/17,422.13
2005/1/18,423.05
2005/1/19,423.15
2005/1/20,422.35
2005/1/21,427.25
2005/1/22,427.25
2005/1/23,427.25
2005/1/24,427.35
2005/1/25,422.2
2005/1/26,426.8
2005/1/27,426.2
2005/1/28,427
2005/1/29,427
2005/1/30,427
2005/1/31,422.6
2005/2/1,421.13
2005/2/2,421.96
2005/2/3,417.2
2005/2/4,414.7
2005/2/5,414.7
2005/2/6,414.7
2005/2/7,413.4
2005/2/8,412.7
2005/2/9,413.35
2005/2/10,417.8
2005/2/11,420.9
2005/2/12,420.9
2005/2/13,420.9
2005/2/14,425.75
2005/2/15,425.75
2005/2/16,425.2
2005/2/17,427.17
2005/2/18,427.41
2005/2/19,427.41
2005/2/20,427.41
2005/2/21,427.45
2005/2/22,435.85
2005/2/23,434.55
2005/2/24,433.75
2005/2/25,435.25
2005/2/26,435.25
2005/2/27,435.25
2005/2/28,435.65
2005/3/1,432.6
2005/3/2,432.95
2005/3/3,429.65
2005/3/4,434.3
2005/3/5,434.3
2005/3/6,434.3
2005/3/7,434.55
2005/3/8,440.55
2005/3/9,440.6
2005/3/10,442.13
2005/3/11,444.95
2005/3/12,444.95
2005/3/13,444.95
2005/3/14,440.97
2005/3/15,440.7
2005/3/16,443.15
2005/3/17,438.8
2005/3/18,439.35
2005/3/19,439.35
2005/3/20,439.35
2005/3/21,431.2
2005/3/22,427.11
2005/3/23,425.35
2005/3/24,425.05
2005/3/25,424.88
2005/3/26,424.88
2005/3/27,424.88
2005/3/28,426.2
2005/3/29,426.1
2005/3/30,426.35
2005/3/31,428.35
2005/4/1,426.25
2005/4/2,426.25
2005/4/3,426.25
2005/4/4,424.25
2005/4/5,425.35
2005/4/6,426.7
2005/4/7,425.9
2005/4/8,427.1
2005/4/9,427.1
2005/4/10,427.1
2005/4/11,428
2005/4/12,428.2
2005/4/13,428.9
2005/4/14,424
2005/4/15,424.9
2005/4/16,424.9
2005/4/17,424.9
2005/4/18,427.35
2005/4/19,434
2005/4/20,434.6
2005/4/21,432.57
2005/4/22,434.6
2005/4/23,434.6
2005/4/24,434.6
2005/4/25,434.7
2005/4/26,437.1
2005/4/27,432.46
2005/4/28,431.4
2005/4/29,434.39
2005/4/30,434.39
2005/5/1,434.39
2005/5/2,429.8
2005/5/3,427.9
2005/5/4,429.8
2005/5/5,430.4
2005/5/6,426.2
2005/5/7,426.2
2005/5/8,426.2
2005/5/9,426.1
2005/5/10,426.6
2005/5/11,427.4
2005/5/12,422.4
2005/5/13,420.4
2005/5/14,420.4
2005/5/15,420.4
2005/5/16,419.75
2005/5/17,418.75
2005/5/18,421.75
2005/5/19,420.6
2005/5/20,417.65
2005/5/21,417.65
2005/5/22,417.65
2005/5/23,417.55
2005/5/24,418.35
2005/5/25,419.55
2005/5/26,417.8
2005/5/27,420.45
2005/5/28,420.45
2005/5/29,420.45
2005/5/30,418.55
2005/5/31,417.25
2005/6/1,415.4
2005/6/2,421.8
2005/6/3,422.45
2005/6/4,422.45
2005/6/5,422.45
2005/6/6,425.95
2005/6/7,424.75
2005/6/8,423.15
2005/6/9,423.7
2005/6/10,427.05
2005/6/11,427.05
2005/6/12,427.05
2005/6/13,428.9
2005/6/14,426.85
2005/6/15,428.9
2005/6/16,435.65
2005/6/17,437.65
2005/6/18,437.65
2005/6/19,437.65
2005/6/20,437.9
2005/6/21,438.6
2005/6/22,438.15
2005/6/23,441.3
2005/6/24,439.95
2005/6/25,439.95
2005/6/26,439.95
2005/6/27,439.8
2005/6/28,435.55
2005/6/29,437.25
2005/6/30,435.5
2005/7/1,427.4
2005/7/2,427.4
2005/7/3,427.4
2005/7/4,427.9
2005/7/5,423.6
2005/7/6,423.76
2005/7/7,424.2
2005/7/8,423.1
2005/7/9,423.1
2005/7/10,423.1
2005/7/11,425.9
2005/7/12,426.95
2005/7/13,424.1
2005/7/14,419.6
2005/7/15,421.55
2005/7/16,421.55
2005/7/17,421.55
2005/7/18,421.05
2005/7/19,420.1
2005/7/20,423.15
2005/7/21,425.6
2005/7/22,425
2005/7/23,425
2005/7/24,425
2005/7/25,425.85
2005/7/26,423.5
2005/7/27,425.5
2005/7/28,428
2005/7/29,429.8
2005/7/30,429.8
2005/7/31,429.8
2005/8/1,432.2
2005/8/2,432.3
2005/8/3,436.8
2005/8/4,437.6
2005/8/5,437.3
2005/8/6,437.3
2005/8/7,437.3
2005/8/8,435
2005/8/9,434.8
2005/8/10,437.6
2005/8/11,445.9
2005/8/12,446.2
2005/8/13,446.2
2005/8/14,446.2
2005/8/15,442.4
2005/8/16,446.15
2005/8/17,440.1
2005/8/18,439.7
2005/8/19,436.3
2005/8/20,436.3
2005/8/21,436.3
2005/8/22,438.2
2005/8/23,439.2
2005/8/24,437.67
2005/8/25,438.7
2005/8/26,437.7
2005/8/27,437.7
2005/8/28,437.7
2005/8/29,436.9
2005/8/30,431.6
2005/8/31,435.2
2005/9/1,443.25
2005/9/2,444.4
2005/9/3,444.4
2005/9/4,444.4
2005/9/5,445.35
2005/9/6,444
2005/9/7,444.7
2005/9/8,447.4
2005/9/9,449.2
2005/9/10,449.2
2005/9/11,449.2
2005/9/12,449.75
2005/9/13,446.5
2005/9/14,450.3
2005/9/15,455.75
2005/9/16,459.75
2005/9/17,459.75
2005/9/18,459.75
2005/9/19,464.75
2005/9/20,463.85
2005/9/21,472.35
2005/9/22,466.05
2005/9/23,463.25
2005/9/24,463.25
2005/9/25,463.25
2005/9/26,466.65
2005/9/27,462.5
2005/9/28,469
2005/9/29,472.15
2005/9/30,469.3
2005/10/1,469.3
2005/10/2,469.3
2005/10/3,465.95
2005/10/4,466.25
2005/10/5,464.75
2005/10/6,473.45
2005/10/7,474.85
2005/10/8,474.85
2005/10/9,474.85
2005/10/10,475.24
2005/10/11,475.5
2005/10/12,470.9
2005/10/13,471.6
2005/10/14,469.7
2005/10/15,469.7
2005/10/16,469.7
2005/10/17,474
2005/10/18,472.2
2005/10/19,464.55
2005/10/20,461.2
2005/10/21,466.89
2005/10/22,466.89
2005/10/23,466.89
2005/10/24,465.25
2005/10/25,472.6
