date,predict,price,predict_price
2015/10/1,9.19E-05,1113.15,1113.25
2015/10/2,-0.003050983,1137.52,1134.05
2015/10/5,-0.010974953,1135.35,1122.89
2015/10/6,-0.004547448,1146.55,1141.34
2015/10/7,-0.007388501,1144.85,1136.39
2015/10/8,-0.004613512,1138.45,1133.2
2015/10/9,-0.003580201,1155.58,1151.44
2015/10/12,-0.011039422,1163.15,1150.31
2015/10/13,-0.008642472,1168.25,1158.15
2015/10/14,-0.006526459,1184.05,1176.32
2015/10/15,-0.008136967,1182.75,1173.13
2015/10/16,-0.003155621,1176.55,1172.84
2015/10/19,-0.001963905,1170.35,1168.05
2015/10/20,-0.002901706,1175.55,1172.14
2015/10/21,-0.006730362,1166.65,1158.8
2015/10/22,-0.002789861,1165.35,1162.1
2015/10/23,-0.003934362,1163.81,1159.23
2015/10/26,-0.004723599,1162.95,1157.46
2015/10/27,-0.005158795,1166.35,1160.33
2015/10/28,-0.006147882,1155.55,1148.45
2015/10/29,-0.002043692,1145.45,1143.11
2015/10/30,-0.002146887,1141.59,1139.14
2015/11/2,-0.004493339,1133.5,1128.41
2015/11/3,-0.003050219,1117.54,1114.13
2015/11/4,-0.000452648,1107.32,1106.82
2015/11/5,-0.002303844,1103.68,1101.14
2015/11/6,-0.005471607,1088.64,1082.68
2015/11/9,-0.001896422,1092.03,1089.96
2015/11/10,-0.006800697,1089.85,1082.44
2015/11/11,-0.004998708,1085.94,1080.51
2015/11/12,-0.003099023,1084.84,1081.48
2015/11/13,-0.003433269,1083.51,1079.79
2015/11/16,-0.003610293,1082.78,1078.87
2015/11/17,-0.003615553,1070.22,1066.35
2015/11/18,0.000144784,1071.07,1071.23
2015/11/19,-0.004613842,1082.18,1077.19
2015/11/20,-0.008954373,1077.75,1068.1
2015/11/23,-0.004459992,1069.13,1064.36
2015/11/24,-0.002107347,1075.44,1073.17
2015/11/25,-0.00711195,1071.32,1063.7
2015/11/26,-0.004808106,1072.07,1066.92
2015/11/27,-0.005521958,1058,1052.16
2015/11/30,-0.000858206,1064.52,1063.61
2015/12/1,-0.007815056,1069.27,1060.91
2015/12/2,-0.007429312,1053.7,1045.87
2015/12/3,-0.001394973,1062.2,1060.72
2015/12/4,-0.010973559,1086.66,1074.74
2015/12/7,-0.01678333,1070.37,1052.41
2015/12/8,-0.002210921,1074.49,1072.11
2015/12/9,-0.006811288,1072.98,1065.67
2015/12/10,-0.00664223,1071.35,1064.23
2015/12/11,-0.006830067,1074.62,1067.28
2015/12/14,-0.007696002,1062.73,1054.55
2015/12/15,-0.003461464,1060.56,1056.89
2015/12/16,-0.006614224,1072.71,1065.61
2015/12/17,-0.012044061,1051.6,1038.93
2015/12/18,-0.00115072,1066.06,1064.83
2015/12/21,-0.009505528,1078.28,1068.03
2015/12/22,-0.010287201,1072.34,1061.31
2015/12/23,-0.004421943,1069.96,1065.23
2015/12/24,-0.005256011,1075.8,1070.15
2015/12/25,-0.008444517,1076.45,1067.36
2015/12/28,-0.007070612,1068.78,1061.22
2015/12/29,-0.003555054,1068.71,1064.91
2015/12/30,-0.00640071,1061.18,1054.39
2015/12/31,-0.004496131,1061.08,1056.31
2016/1/1,-0.006285921,1061.08,1054.41
2016/1/4,-0.006057819,1074.49,1067.98
2016/1/5,-0.010084438,1077.65,1066.78
2016/1/6,-0.006850424,1094.32,1086.82
2016/1/7,-0.010205305,1108.95,1097.63
2016/1/8,-0.009474268,1103.97,1093.51
2016/1/11,-0.002816119,1094.06,1090.98
2016/1/12,-0.000777411,1086.97,1086.12
2016/1/13,-0.001994854,1093.16,1090.98
2016/1/14,-0.007661623,1077.81,1069.55
2016/1/15,-0.001360822,1088.91,1087.43
2016/1/18,-0.008004412,1088.94,1080.22
2016/1/19,-0.005639263,1086.98,1080.85
2016/1/20,-0.004311954,1100.92,1096.17
2016/1/21,-0.009192884,1101.4,1091.27
2016/1/22,-0.005248262,1097.63,1091.87
2016/1/25,-0.00387118,1107.74,1103.45
2016/1/26,-0.008600513,1120.21,1110.58
2016/1/27,-0.009603765,1125.21,1114.4
2016/1/28,-0.006534935,1114.85,1107.56
2016/1/29,-0.00169733,1118.01,1116.11
2016/2/1,-0.005552133,1128.5,1122.23
2016/2/2,-0.008490062,1128.78,1119.2
2016/2/3,-0.004649342,1142.62,1137.31
2016/2/4,-0.008131153,1155.6,1146.2
2016/2/5,-0.008519738,1173.47,1163.47
